EVICTED,PK_ID,GENDER,OWN_CAR,TENANT_INCOME,COUNT_CHILDREN,RENT_AMT,SPOUSAL_STATUS,AGE_YEARS,CELL_PHONE,WORK_PHONE,HOME_PHONE,COUNT_OCCUPANTS,APT_CLASS,STATE_WORK_ADDRESS_MISMATCH,CITY_WORK_ADDRESS_MISMATCH,CREDIT_PULLS,LATE_PAYMENTS,DAY_APP_SUBMIT,HOUR_APP_SUBMIT,SAFERENT_SCORE,SAFERENT_CONDITIONAL
,439534,F,N,117000,1,1468,Y,31.3,1,1,0,,A,0,0,1,0,MONDAY,12,712,0
,439536,F,N,157500,2,1935,Y,29.8,1,1,0,4,A,0,0,1,0,SUNDAY,12,618,0
,439543,M,Y,157500,1,1546,Y,25.3,1,1,0,,A,0,0,,0,MONDAY,9,550,0
,439546,M,N,157500,0,1838,Y,28.4,1,1,1,,A,0,1,4,0,MONDAY,10,434,0
,439552,F,N,157500,0,1294,Y,44.1,1,1,0,2,A,0,1,5,0,THURSDAY,14,556,0
,439561,M,Y,540000,0,2302,Y,49.6,1,1,0,2,A,0,1,4,2,TUESDAY,15,679,0
,439565,M,Y,157500,0,1517,N,31.6,1,1,0,1,B,1,1,,0,FRIDAY,6,618,0
,439568,F,N,135000,0,1498,N,63.2,1,0,0,,A,0,0,8,0,FRIDAY,12,455,0
,439569,F,N,108000,0,2050.8,Y,32.5,1,1,0,2,A,0,0,,5,WEDNESDAY,12,640,0
,439570,M,N,135000,0,2064,Y,41,1,1,0,,A,0,1,0,2,MONDAY,14,451,0
,439572,F,N,45000,0,1298,Y,59.7,1,0,0,,B,0,0,0,1,SATURDAY,8,621,0
,439573,F,Y,135000,1,1292,Y,35.3,1,1,0,3,B,0,0,1,11,SUNDAY,8,579,0
,439574,M,Y,180000,0,959,Y,41.6,1,1,0,,A,0,1,1,0,FRIDAY,8,575,0
,439575,F,N,67500,0,1524,Y,39.6,1,1,0,2,B,0,0,8,0,TUESDAY,15,573,0
,439589,F,N,270000,0,1691,Y,56.2,1,1,0,2,A,0,0,3,1,WEDNESDAY,16,596,0
,439594,F,N,67500,0,1259,N,62.5,1,0,0,,B,0,0,1,0,MONDAY,9,376,1
,439598,F,N,157500,0,1395,Y,55.6,1,0,0,,A,0,0,0,0,MONDAY,16,619,0
,439600,F,N,157500,1,1695,Y,36,1,1,0,3,A,0,0,2,0,THURSDAY,12,432,0
,439602,F,N,216000,0,2397,Y,60.9,1,0,0,2,A,0,0,5,0,FRIDAY,10,689,0
,439604,F,N,157500,0,1909,N,27.2,1,1,0,,A,0,0,,0,TUESDAY,11,647,0
,439606,F,Y,135000,1,1899,Y,42.1,1,1,0,3,A,0,0,3,5,FRIDAY,11,570,0
,439608,M,N,103500,0,1514,Y,55.8,1,0,0,2,A,0,0,3,1,WEDNESDAY,13,678,0
,439615,M,Y,157500,1,1380,Y,29.3,1,1,1,,A,0,1,11,0,MONDAY,18,375,0
,439616,F,Y,1350000,0,1451,N,29.8,1,1,0,1,A,0,0,0,1,FRIDAY,3,546,0
,439617,F,N,123300,2,1684,Y,31.5,1,1,1,,A,0,0,,0,THURSDAY,11,437,0
,439624,M,N,180000,0,2049,Y,25.5,1,1,1,,A,0,1,2,1,THURSDAY,14,555,0
,439625,M,N,135000,0,1401,Y,51.9,1,1,0,,A,0,0,2,4,WEDNESDAY,17,378,0
,439628,F,N,112500,1,1526.9,Y,36.8,1,1,0,,A,0,0,,1,MONDAY,13,644,0
,439629,F,N,112500,0,1346,N,56.4,1,0,0,1,A,0,0,4,0,THURSDAY,12,495,0
,439632,F,N,270000,0,2320,N,63.9,1,0,0,,A,0,0,3,1,WEDNESDAY,16,593,0
,439634,F,Y,157500,0,2047,Y,49.2,1,1,0,2,B,0,0,0,3,THURSDAY,12,410,0
,439635,M,N,90000,0,1661,Y,63.3,1,0,0,2,A,0,0,2,0,TUESDAY,9,574,0
,439636,M,N,171000,0,1716,Y,57.6,1,1,1,2,A,0,0,2,0,WEDNESDAY,16,795,0
,439637,F,Y,225000,1,1801,N,36.3,1,1,0,2,A,0,0,2,0,THURSDAY,15,731,0
,439638,F,N,202500,0,1259,Y,21.5,1,1,0,,A,0,0,,0,SUNDAY,9,568,0
,439641,F,N,126000,0,1609,N,49.8,1,1,1,,B,0,0,5,0,TUESDAY,12,563,0
,439647,F,N,112500,0,1379,Y,30.9,1,1,1,,A,0,0,1,1,FRIDAY,10,585,0
,439651,F,N,135000,0,1629,N,24.8,1,1,1,,B,0,0,,1,TUESDAY,8,356,0
,439654,M,Y,135000,0,1744,N,55.9,1,1,1,,A,0,1,0,0,SUNDAY,9,661,0
,439655,M,Y,225000,2,2212,Y,29.3,1,1,0,4,A,0,0,3,0,FRIDAY,11,629,0
,439658,F,N,450000,1,3188,N,43.5,1,1,0,,A,0,0,2,3,WEDNESDAY,9,631,0
,439663,F,N,135000,1,1395,Y,33.3,1,1,1,,A,0,0,,2,FRIDAY,12,615,0
,439669,F,N,63000,0,504,Y,45,1,1,1,2,A,0,0,1,9,SUNDAY,10,701,0
,439672,M,Y,279000,1,1735,Y,47.9,1,1,0,3,A,0,0,16,0,MONDAY,18,720,0
,439679,M,N,202500,0,1739,Y,23,1,1,0,,A,0,1,2,0,SATURDAY,12,421,0
,439681,M,Y,135000,0,1557,Y,60,1,0,0,,B,0,0,1,1,MONDAY,13,712,0
,439686,F,N,180000,2,2398,Y,38.8,1,1,0,4,A,0,0,4,2,TUESDAY,12,755,0
